,Symbol,Open,High,Low,Close,PrevClose,DateTime,Date,Time
120,AAPL,252.0719,252.25,252.0562,252.2384,252.08,2020-04-06 08:50:00,2020-04-06,08:50:00
121,AAPL,252.245,252.32,252.16,252.25,252.2384,2020-04-06 08:50:00,2020-04-06,08:50:00
122,AAPL,252.23,252.39,252.21,252.27,252.25,2020-04-06 08:50:00,2020-04-06,08:50:00
123,AAPL,252.26,252.47,252.25,252.43,252.27,2020-04-06 08:50:00,2020-04-06,08:50:00
124,AAPL,252.43,252.53,252.41,252.52,252.43,2020-04-06 08:50:00,2020-04-06,08:50:00
125,AAPL,252.53,252.53,252.48,252.5227,252.52,2020-04-06 08:50:00,2020-04-06,08:50:00
126,AAPL,252.51,252.69,252.51,252.665,252.5227,2020-04-06 08:50:00,2020-04-06,08:50:00
127,AAPL,252.69,252.95,252.65,252.925,252.665,2020-04-06 08:50:00,2020-04-06,08:50:00
128,AAPL,252.925,253.0,252.79,253.0,252.925,2020-04-06 08:50:00,2020-04-06,08:50:00
129,AAPL,253.0,253.2,252.89,253.12,253.0,2020-04-06 08:50:00,2020-04-06,08:50:00
130,AAPL,253.12,253.19,253.03,253.14,253.12,2020-04-06 08:50:00,2020-04-06,08:50:00
131,AAPL,253.16,253.33,253.145,253.25,253.14,2020-04-06 08:51:00,2020-04-06,08:51:00
132,AAPL,253.24,253.275,253.1277,253.2099,253.25,2020-04-06 08:51:00,2020-04-06,08:51:00
133,AAPL,253.165,253.18,252.7701,252.83,253.2099,2020-04-06 08:51:00,2020-04-06,08:51:00
134,AAPL,252.84,252.9199,252.67,252.8101,252.83,2020-04-06 08:51:00,2020-04-06,08:51:00
135,AAPL,252.855,253.33,252.81,253.14,252.8101,2020-04-06 08:51:00,2020-04-06,08:51:00
136,AAPL,253.12,253.3,253.1101,253.28,253.14,2020-04-06 08:51:00,2020-04-06,08:51:00
137,AAPL,253.28,253.4,253.2297,253.38,253.28,2020-04-06 08:51:00,2020-04-06,08:51:00
138,AAPL,253.38,253.39,253.1301,253.175,253.38,2020-04-06 08:51:00,2020-04-06,08:51:00
139,AAPL,253.16,253.2999,253.1301,253.25,253.175,2020-04-06 08:51:00,2020-04-06,08:51:00
140,AAPL,253.2256,253.25,253.08,253.08,253.25,2020-04-06 08:51:00,2020-04-06,08:51:00
141,AAPL,253.08,253.16,252.9476,253.12,253.08,2020-04-06 08:52:00,2020-04-06,08:52:00
142,AAPL,253.1499,253.16,252.95,253.06,253.12,2020-04-06 08:52:00,2020-04-06,08:52:00
143,AAPL,253.06,253.19,252.99,253.09,253.06,2020-04-06 08:52:00,2020-04-06,08:52:00
144,AAPL,253.08,253.14,252.99,253.04,253.09,2020-04-06 08:52:00,2020-04-06,08:52:00
145,AAPL,253.02,253.18,253.0,253.11,253.04,2020-04-06 08:52:00,2020-04-06,08:52:00
146,AAPL,253.1201,253.23,252.97,253.2,253.11,2020-04-06 08:52:00,2020-04-06,08:52:00
147,AAPL,253.2,253.35,253.188,253.35,253.2,2020-04-06 08:53:00,2020-04-06,08:53:00
148,AAPL,253.35,253.38,253.105,253.1847,253.35,2020-04-06 08:53:00,2020-04-06,08:53:00
149,AAPL,253.2,253.4,253.11,253.4,253.1847,2020-04-06 08:53:00,2020-04-06,08:53:00
150,AAPL,253.4,253.45,253.27,253.44,253.4,2020-04-06 08:53:00,2020-04-06,08:53:00
151,AAPL,253.4371,253.46,253.29,253.35,253.44,2020-04-06 08:53:00,2020-04-06,08:53:00
152,AAPL,253.36,253.55,253.36,253.495,253.35,2020-04-06 08:53:00,2020-04-06,08:53:00
153,AAPL,253.5085,253.65,253.45,253.65,253.495,2020-04-06 08:54:00,2020-04-06,08:54:00
154,AAPL,253.64,253.66,253.44,253.445,253.65,2020-04-06 08:54:00,2020-04-06,08:54:00
155,AAPL,253.437,253.58,253.4112,253.52,253.445,2020-04-06 08:54:00,2020-04-06,08:54:00
156,AAPL,253.51,253.58,253.34,253.5,253.52,2020-04-06 08:54:00,2020-04-06,08:54:00
157,AAPL,253.5,253.59,253.29,253.36,253.5,2020-04-06 08:54:00,2020-04-06,08:54:00
158,AAPL,253.36,253.39,253.245,253.31,253.36,2020-04-06 08:54:00,2020-04-06,08:54:00
159,AAPL,253.34,253.37,253.09,253.17,253.31,2020-04-06 08:55:00,2020-04-06,08:55:00
160,AAPL,253.14,253.18,252.92,253.1,253.17,2020-04-06 08:55:00,2020-04-06,08:55:00
161,AAPL,253.12,253.18,253.0,253.17,253.1,2020-04-06 08:55:00,2020-04-06,08:55:00
162,AAPL,253.17,253.23,253.0788,253.2,253.17,2020-04-06 08:55:00,2020-04-06,08:55:00
163,AAPL,253.2,253.2,252.98,253.0,253.2,2020-04-06 08:55:00,2020-04-06,08:55:00
164,AAPL,252.97,253.1,252.9151,253.0,253.0,2020-04-06 08:56:00,2020-04-06,08:56:00
165,AAPL,253.0,253.0,252.75,252.75,253.0,2020-04-06 08:56:00,2020-04-06,08:56:00
166,AAPL,252.8,252.9,252.75,252.83,252.75,2020-04-06 08:56:00,2020-04-06,08:56:00
167,AAPL,252.82,252.85,252.62,252.62,252.83,2020-04-06 08:56:00,2020-04-06,08:56:00
168,AAPL,252.62,252.9,252.5583,252.89,252.62,2020-04-06 08:56:00,2020-04-06,08:56:00
169,AAPL,252.89,252.98,252.74,252.97,252.89,2020-04-06 08:57:00,2020-04-06,08:57:00
170,AAPL,252.9799,253.115,252.9101,253.05,252.97,2020-04-06 08:57:00,2020-04-06,08:57:00
171,AAPL,253.05,253.24,252.96,253.14,253.05,2020-04-06 08:57:00,2020-04-06,08:57:00
172,AAPL,253.15,253.23,252.93,253.19,253.14,2020-04-06 08:57:00,2020-04-06,08:57:00
173,AAPL,253.19,253.37,253.19,253.36,253.19,2020-04-06 08:57:00,2020-04-06,08:57:00
174,AAPL,253.33,253.39,253.255,253.36,253.36,2020-04-06 08:57:00,2020-04-06,08:57:00
175,AAPL,253.36,253.3745,253.148,253.24,253.36,2020-04-06 08:58:00,2020-04-06,08:58:00
176,AAPL,253.24,253.29,253.09,253.15,253.24,2020-04-06 08:58:00,2020-04-06,08:58:00
177,AAPL,253.15,253.38,253.12,253.38,253.15,2020-04-06 08:58:00,2020-04-06,08:58:00
178,AAPL,253.38,253.6,253.27,253.52,253.38,2020-04-06 08:59:00,2020-04-06,08:59:00
179,AAPL,253.54,253.55,253.395,253.51,253.52,2020-04-06 08:59:00,2020-04-06,08:59:00
180,AAPL,253.47,253.51,253.298,253.35,253.51,2020-04-06 08:59:00,2020-04-06,08:59:00
181,AAPL,253.3557,253.39,253.25,253.28,253.35,2020-04-06 08:59:00,2020-04-06,08:59:00
182,AAPL,253.29,253.39,253.18,253.21,253.28,2020-04-06 08:59:00,2020-04-06,08:59:00
183,AAPL,253.1921,253.21,252.85,252.9651,253.21,2020-04-06 09:00:00,2020-04-06,09:00:00
184,AAPL,252.9794,253.11,252.94,252.99,252.9651,2020-04-06 09:00:00,2020-04-06,09:00:00
185,AAPL,252.99,253.146,252.99,253.03,252.99,2020-04-06 09:00:00,2020-04-06,09:00:00
186,AAPL,253.0432,253.225,252.92,253.225,253.03,2020-04-06 09:00:00,2020-04-06,09:00:00
187,AAPL,253.22,253.28,253.11,253.175,253.225,2020-04-06 09:01:00,2020-04-06,09:01:00
188,AAPL,253.16,253.3,253.01,253.04,253.175,2020-04-06 09:01:00,2020-04-06,09:01:00
189,AAPL,253.0275,253.09,253.0,253.075,253.04,2020-04-06 09:01:00,2020-04-06,09:01:00
190,AAPL,253.075,253.17,253.02,253.15,253.075,2020-04-06 09:02:00,2020-04-06,09:02:00
191,AAPL,253.14,253.3,253.14,253.26,253.15,2020-04-06 09:02:00,2020-04-06,09:02:00
192,AAPL,253.27,253.31599999999997,252.9638,253.04,253.26,2020-04-06 09:02:00,2020-04-06,09:02:00
193,AAPL,253.03,253.34,253.02,253.3001,253.04,2020-04-06 09:02:00,2020-04-06,09:02:00
194,AAPL,253.3028,253.39,253.1898,253.33,253.3001,2020-04-06 09:02:00,2020-04-06,09:02:00
195,AAPL,253.34,253.36,253.11,253.11,253.33,2020-04-06 09:02:00,2020-04-06,09:02:00
196,AAPL,253.11,253.16,253.0,253.0,253.11,2020-04-06 09:02:00,2020-04-06,09:02:00
197,AAPL,253.0,253.005,252.81,252.86,253.0,2020-04-06 09:03:00,2020-04-06,09:03:00
198,AAPL,252.8399,252.89,252.7,252.75,252.86,2020-04-06 09:03:00,2020-04-06,09:03:00
199,AAPL,252.74,252.86,252.7,252.745,252.75,2020-04-06 09:03:00,2020-04-06,09:03:00
200,AAPL,252.75,252.88,252.7,252.7,252.745,2020-04-06 09:03:00,2020-04-06,09:03:00
201,AAPL,252.7,252.97,252.7,252.97,252.7,2020-04-06 09:04:00,2020-04-06,09:04:00
202,AAPL,252.9483,253.02,252.86,252.92,252.97,2020-04-06 09:04:00,2020-04-06,09:04:00
203,AAPL,252.88,252.92,252.8,252.82,252.92,2020-04-06 09:04:00,2020-04-06,09:04:00
204,AAPL,252.84,252.93,252.76,252.88,252.82,2020-04-06 09:04:00,2020-04-06,09:04:00
205,AAPL,252.845,252.99,252.75,252.99,252.88,2020-04-06 09:05:00,2020-04-06,09:05:00
206,AAPL,252.99,253.1,252.93,253.01,252.99,2020-04-06 09:05:00,2020-04-06,09:05:00
207,AAPL,253.01,253.01,252.77,252.83,253.01,2020-04-06 09:05:00,2020-04-06,09:05:00
208,AAPL,252.83,252.95,252.72,252.9299,252.83,2020-04-06 09:05:00,2020-04-06,09:05:00
209,AAPL,252.9,252.92,252.75,252.75,252.9299,2020-04-06 09:06:00,2020-04-06,09:06:00
210,AAPL,252.79,252.91,252.7,252.7,252.75,2020-04-06 09:06:00,2020-04-06,09:06:00
211,AAPL,252.7,252.8,252.62,252.795,252.7,2020-04-06 09:06:00,2020-04-06,09:06:00
212,AAPL,252.81,252.82,252.62,252.67,252.795,2020-04-06 09:07:00,2020-04-06,09:07:00
213,AAPL,252.64,252.64,252.53,252.55,252.67,2020-04-06 09:07:00,2020-04-06,09:07:00
214,AAPL,252.53,252.56599999999997,252.31,252.31,252.55,2020-04-06 09:07:00,2020-04-06,09:07:00
215,AAPL,252.32,252.52,252.27,252.51,252.31,2020-04-06 09:07:00,2020-04-06,09:07:00
216,AAPL,252.51,252.6163,252.45,252.45,252.51,2020-04-06 09:07:00,2020-04-06,09:07:00
217,AAPL,252.45,252.52,252.3901,252.44,252.45,2020-04-06 09:08:00,2020-04-06,09:08:00
218,AAPL,252.44,252.5,252.38,252.4184,252.44,2020-04-06 09:08:00,2020-04-06,09:08:00
219,AAPL,252.41299999999998,252.58,252.39,252.5,252.4184,2020-04-06 09:08:00,2020-04-06,09:08:00
220,AAPL,252.5045,252.73,252.5045,252.71,252.5,2020-04-06 09:09:00,2020-04-06,09:09:00
221,AAPL,252.71,253.12,252.68,252.88,252.71,2020-04-06 09:09:00,2020-04-06,09:09:00
222,AAPL,252.97,253.02,252.76,252.84,252.88,2020-04-06 09:09:00,2020-04-06,09:09:00
223,AAPL,252.84,252.96,252.83,252.94,252.84,2020-04-06 09:09:00,2020-04-06,09:09:00
224,AAPL,252.94,252.9409,252.7,252.7,252.94,2020-04-06 09:09:00,2020-04-06,09:09:00
225,AAPL,252.7,252.74,252.59,252.7396,252.7,2020-04-06 09:10:00,2020-04-06,09:10:00
226,AAPL,252.72400000000002,252.9,252.72400000000002,252.8,252.7396,2020-04-06 09:10:00,2020-04-06,09:10:00
227,AAPL,252.8,252.9,252.7873,252.81,252.8,2020-04-06 09:10:00,2020-04-06,09:10:00
228,AAPL,252.79,252.82,252.69,252.7273,252.81,2020-04-06 09:10:00,2020-04-06,09:10:00
229,AAPL,252.73,252.8599,252.72,252.8,252.7273,2020-04-06 09:11:00,2020-04-06,09:11:00
230,AAPL,252.78,252.8,252.65,252.66,252.8,2020-04-06 09:11:00,2020-04-06,09:11:00
231,AAPL,252.65,252.685,252.57,252.665,252.66,2020-04-06 09:11:00,2020-04-06,09:11:00
232,AAPL,252.6501,252.86,252.6501,252.86,252.665,2020-04-06 09:12:00,2020-04-06,09:12:00
233,AAPL,252.8476,252.98,252.8476,252.93,252.86,2020-04-06 09:12:00,2020-04-06,09:12:00
234,AAPL,252.93,253.0,252.88,252.99,252.93,2020-04-06 09:12:00,2020-04-06,09:12:00
235,AAPL,252.9825,253.06,252.98,253.0,252.99,2020-04-06 09:13:00,2020-04-06,09:13:00
236,AAPL,253.0,253.0701,252.94,253.05,253.0,2020-04-06 09:13:00,2020-04-06,09:13:00
237,AAPL,253.03,253.17,253.02,253.1,253.05,2020-04-06 09:13:00,2020-04-06,09:13:00
238,AAPL,253.09,253.1,252.935,252.96,253.1,2020-04-06 09:13:00,2020-04-06,09:13:00
239,AAPL,252.9665,253.0,252.81,252.81,252.96,2020-04-06 09:13:00,2020-04-06,09:13:00
240,AAPL,252.81,252.83,252.662,252.69,252.81,2020-04-06 09:14:00,2020-04-06,09:14:00
241,AAPL,252.69,252.83,252.66,252.74,252.69,2020-04-06 09:14:00,2020-04-06,09:14:00
